date,fund,ticker,weight
2021-05-03,Combined Max-Sharpe,CCI,0.0
2021-06-01,Combined Max-Sharpe,CCI,9.714062127766333e-17
2021-07-01,Combined Max-Sharpe,CCI,0.0
2021-08-02,Combined Max-Sharpe,CCI,0.0
2021-09-01,Combined Max-Sharpe,CCI,0.0
2021-10-01,Combined Max-Sharpe,CCI,6.837325786374237e-17
2021-11-01,Combined Max-Sharpe,CCI,1.7656603472204898e-16
2021-12-01,Combined Max-Sharpe,CCI,3.40842754366159e-17
2022-01-03,Combined Max-Sharpe,CCI,0.0
2022-02-01,Combined Max-Sharpe,CCI,3.167369228806994e-17
2022-03-01,Combined Max-Sharpe,CCI,1.2485885619324992e-16
2022-04-01,Combined Max-Sharpe,CCI,7.935356098541045e-18
2022-05-02,Combined Max-Sharpe,CCI,0.0
2022-06-01,Combined Max-Sharpe,CCI,0.0
2022-07-01,Combined Max-Sharpe,CCI,8.232739344530496e-17
2022-08-01,Combined Max-Sharpe,CCI,1.2279533445960577e-16
2022-09-01,Combined Max-Sharpe,CCI,0.0
2022-10-03,Combined Max-Sharpe,CCI,0.0
2022-11-01,Combined Max-Sharpe,CCI,1.9669048095589373e-16
2022-12-01,Combined Max-Sharpe,CCI,0.0
2023-01-03,Combined Max-Sharpe,CCI,0.0
2023-02-01,Combined Max-Sharpe,CCI,2.1715762751169488e-16
2023-03-01,Combined Max-Sharpe,CCI,0.0
2023-04-03,Combined Max-Sharpe,CCI,2.0807833017229398e-14
2023-05-01,Combined Max-Sharpe,CCI,0.0
2023-06-01,Combined Max-Sharpe,CCI,0.0
2023-07-03,Combined Max-Sharpe,CCI,0.0
2023-08-01,Combined Max-Sharpe,CCI,8.15629271790599e-17
2023-09-01,Combined Max-Sharpe,CCI,1.2650902701831033e-16
2023-10-02,Combined Max-Sharpe,CCI,3.1585415252084864e-17
2023-11-01,Combined Max-Sharpe,CCI,0.0
2023-12-01,Combined Max-Sharpe,CCI,1.0385921134760395e-16
2021-01-04,Combined Max-Sharpe,CMCSA,0.0
2021-02-01,Combined Max-Sharpe,CMCSA,0.0
2021-03-01,Combined Max-Sharpe,CMCSA,0.0
2021-04-01,Combined Max-Sharpe,CMCSA,0.0
2021-05-03,Combined Max-Sharpe,CMCSA,0.0
2021-06-01,Combined Max-Sharpe,CMCSA,0.0
2021-07-01,Combined Max-Sharpe,CMCSA,0.0
2021-08-02,Combined Max-Sharpe,CMCSA,0.0
2021-09-01,Combined Max-Sharpe,CMCSA,8.443646317599269e-17
2021-10-01,Combined Max-Sharpe,CMCSA,0.0
2021-11-01,Combined Max-Sharpe,CMCSA,0.0
2021-12-01,Combined Max-Sharpe,CMCSA,1.1742647105570357e-16
2022-01-03,Combined Max-Sharpe,CMCSA,1.062328485950542e-16
