date,fund,ret
2021-12-15,Equity Min-Variance,0.013111164669229949
2021-12-16,Equity Min-Variance,0.010391148563192558
2021-12-17,Equity Min-Variance,-0.012393236827903675
2021-12-20,Equity Min-Variance,0.0019799739084837304
2021-12-21,Equity Min-Variance,0.003734932805889373
2021-12-22,Equity Min-Variance,0.006386874750949843
2021-12-23,Equity Min-Variance,0.0017174795962180264
2021-12-27,Equity Min-Variance,0.010638436380243107
2021-12-28,Equity Min-Variance,0.004462187953435415
2021-12-29,Equity Min-Variance,0.0010153185874901397
2021-12-30,Equity Min-Variance,0.0006227128071123673
2021-12-31,Equity Min-Variance,-0.0011399068492119481
2022-01-03,Equity Min-Variance,0.0020975835007325198
2022-01-04,Equity Min-Variance,-0.0005495275124407391
2022-01-05,Equity Min-Variance,-0.0017457602221825235
2022-01-06,Equity Min-Variance,-0.00397735361573037
2022-01-07,Equity Min-Variance,0.004320811408871901
2022-01-10,Equity Min-Variance,-0.0011048443359159173
2022-01-11,Equity Min-Variance,0.003825084639444265
2022-01-12,Equity Min-Variance,0.0011934487999754428
2022-01-13,Equity Min-Variance,-0.002185350957084599
2022-01-14,Equity Min-Variance,-0.00250662451038472
2022-01-18,Equity Min-Variance,-0.009153985722822116
2022-01-19,Equity Min-Variance,-0.0004615879649630984
2022-01-20,Equity Min-Variance,-0.01103417392930464
2022-01-21,Equity Min-Variance,-0.004511838212815502
2022-01-24,Equity Min-Variance,-0.0050136797591987465
2022-01-25,Equity Min-Variance,-0.004984250799289383
2022-01-26,Equity Min-Variance,-0.01599928649897182
2022-01-27,Equity Min-Variance,0.00018888829979559767
2022-01-28,Equity Min-Variance,0.016034814303631566
2022-01-31,Equity Min-Variance,0.010867954293955456
2022-02-01,Equity Min-Variance,-0.0026297847103004804
2022-02-02,Equity Min-Variance,0.011437916625311212
2022-02-03,Equity Min-Variance,-0.005871445553160642
2022-02-04,Equity Min-Variance,-0.003722453929936165
2022-02-07,Equity Min-Variance,-0.0010679316967550246
2022-02-08,Equity Min-Variance,-0.0012227066039205438
2022-02-09,Equity Min-Variance,0.006435311266194904
2022-02-10,Equity Min-Variance,-0.01731288429807848
2022-02-11,Equity Min-Variance,-0.002696776718259626
2022-02-14,Equity Min-Variance,-0.007921729763182526
2022-02-15,Equity Min-Variance,0.0021554465022081827
2022-02-16,Equity Min-Variance,-0.001797807969813832
2022-02-17,Equity Min-Variance,-0.006712093647632637
2022-02-18,Equity Min-Variance,-0.0055247968122402605
2022-02-22,Equity Min-Variance,-0.003958239782203786
2022-02-23,Equity Min-Variance,-0.0027113557431496698
2022-02-24,Equity Min-Variance,-0.001091641729082313
2022-02-25,Equity Min-Variance,0.02619172599134318
2022-02-28,Equity Min-Variance,-0.005069526083351255
2022-03-01,Equity Min-Variance,-0.0018014407986308581
2022-03-02,Equity Min-Variance,0.012024980834328017
2022-03-03,Equity Min-Variance,0.008520350836642774
2022-03-04,Equity Min-Variance,0.00683551744171868
2022-03-07,Equity Min-Variance,-0.008791817789444907
2022-03-08,Equity Min-Variance,-0.013686905634967036
2022-03-09,Equity Min-Variance,0.004324018258499965
2022-03-10,Equity Min-Variance,0.001759247226056675
2022-03-11,Equity Min-Variance,-0.005365677917372508
2022-03-14,Equity Min-Variance,-0.004675910932394427
2022-03-15,Equity Min-Variance,0.0073777171609217896
2022-03-16,Equity Min-Variance,0.005854425830936034
2022-03-17,Equity Min-Variance,0.011354016752237253
